codigodanedepartamento,codigodanemunicipio,tipoarea,ano,mes,condicion
27,2715,1,2010,1,2
27,2715,1,2010,1,2
27,2715,1,2010,1,2
27,2715,1,2010,5,2
27,2715,1,2010,5,2
27,2715,1,2010,5,2
18,18592,1,2010,5,2
18,18592,1,2010,5,2
52,52079,1,2010,6,2
54,54344,1,2009,2,1
54,54344,1,2010,6,2
54,54344,1,2010,6,2
5,5854,1,2010,6,2
76,76113,1,2010,6,2
76,76113,1,2010,6,2
76,76563,1,2010,6,2
54,548,1,2010,6,2
54,548,1,2010,6,2
18,18592,1,2010,6,2
18,18592,1,2010,6,2
18,18592,1,2010,6,2
18,18592,1,2010,6,2
5,5107,1,2010,3,2
5,5107,1,2010,3,2
5,5361,1,2010,4,2
81,81794,1,2010,6,2
54,548,1,2010,6,2
13,1316,1,2010,3,1
18,1841,1,2010,4,1
5,5649,1,2005,5,1
54,54206,1,2010,6,2
5,5854,1,2010,3,1
54,54206,1,2010,6,2
5,5854,1,2010,3,1
5,5361,1,2008,5,1
52,52678,1,2009,12,1
23,23807,1,2010,3,1
18,1841,1,2010,4,1
23,23807,1,2001,3,1
5,5649,1,2005,5,1
5,504,1,2010,5,1
52,52678,1,2009,5,1
5,5854,1,2010,3,1
5,5649,1,2005,6,1
5,5649,1,2005,5,1
5,5854,1,2010,3,1
5,5854,1,2010,3,1
5,5649,1,2005,5,1
5,5647,1,2009,9,1
5,566,1,2010,3,1
52,52678,1,2009,12,1
5,5649,1,2005,1,1
5,579,1,2010,5,1
18,1841,1,2010,4,1
5,5873,1,2010,3,1
5,549,1,2010,1,1
68,68655,1,2009,2,1
85,8525,1,2010,3,1
5,5649,1,2005,1,1
5,5234,1,2009,2,1
5,5649,1,2005,5,1
5,579,1,2010,5,1
5,5649,1,2005,5,1
23,23807,1,2010,5,1
5,579,1,2010,5,1
5,5649,1,2005,5,1
5,579,1,2010,5,1
5,579,1,2010,5,1
73,73616,1,2010,6,2
73,73616,1,2010,6,2
95,952,1,2010,6,2
52,52573,1,2010,6,2
41,41001,1,2010,6,2
23,2358,1,2010,6,2
5,5649,1,2010,6,2
95,95001,1,2010,6,2
54,54003,1,2010,5,2
5,5361,1,2008,5,1
5,5315,1,2010,3,1
18,1841,1,2010,3,2
52,52678,1,2010,3,2
18,18592,1,2010,5,2
18,18592,1,2010,5,2
5,5854,1,2010,3,1
19,19212,1,2010,4,2
5,5854,1,2010,4,1
5,5854,1,2010,4,1
5,504,1,2010,2,1
5,5315,1,2010,3,2
5,5234,1,2009,2,1
18,18592,1,2010,5,2
18,1841,1,2010,6,2
76,7667,1,2010,6,2
23,23807,1,2010,6,2
73,73555,1,2010,7,2
41,4102,1,2010,7,2
41,4102,1,2010,7,2
73,73616,1,2010,7,2
73,73616,1,2010,7,2
86,86569,1,2010,7,2
73,73555,1,2010,7,2
86,86573,1,2010,7,2
86,86573,1,2010,7,2
18,18753,1,2010,7,2
76,76563,1,2010,7,2
5,579,1,2010,7,2
50,50711,1,2010,7,2
5,579,1,2010,7,2
19,19418,1,2010,4,1
19,19256,1,2010,5,1
54,5481,1,2010,3,1
18,18756,1,2010,4,1
18,18756,1,2010,4,1
18,18756,1,2010,4,1
18,18756,1,2010,4,1
18,18756,1,2010,4,1
73,73555,1,2010,7,2
5,5649,1,2005,5,1
5,5649,1,2005,1,1
5,5234,1,2009,11,1
50,504,1,2010,2,2
5,512,1,2010,2,2
73,73449,1,2010,8,1
20,20001,1,2003,4,1
20,20001,1,2003,4,1
20,20001,1,2003,4,1
20,20001,1,2003,4,1
97,97001,1,2003,5,1
97,97001,1,2003,5,1
97,97001,1,2003,5,1
97,97001,1,2003,5,1
19,19701,1,2003,6,1
19,19701,1,2003,6,1
20,20001,1,2003,10,1
95,95001,1,2007,2,1
95,95001,1,2007,2,1
95,95001,1,2007,2,1
95,95001,1,2007,2,1
95,95001,1,2007,2,1
95,95001,1,2007,2,1
95,95001,1,2007,2,1
95,95001,1,2007,2,1
95,95001,1,2007,2,1
95,95001,1,2007,2,1
95,95001,1,2007,2,1
95,95001,1,2007,2,1
95,95001,1,2007,2,1
52,52612,1,2007,7,1
52,52612,1,2007,7,1
52,52612,1,2007,7,1
52,52612,1,2007,7,1
76,76275,1,2008,6,1
19,19142,1,2008,8,1
5,579,1,2008,11,1
44,44847,1,2009,6,1
44,44001,2,2009,7,1
52,52418,1,2010,2,1
5,579,1,2010,8,1
5,5847,1,2010,8,2
5,525,1,2010,5,1
5,5038,1,2010,6,2
5,5854,1,2010,7,2
52,5254,1,2010,7,1
5,5854,1,2010,6,1
52,5254,1,2010,7,1
5,579,1,2010,7,1
52,52696,1,2010,7,1
5,5361,1,2010,8,1
76,7667,1,2010,3,1
76,7667,1,2010,3,1
52,52696,1,2010,7,1
5,5361,1,2010,8,1
81,81794,1,2010,8,1
19,19821,1,2009,8,1
19,19821,1,2009,8,1
52,52835,1,2010,1,1
19,19137,1,2010,6,1
19,19821,1,2009,8,1
5,5854,1,2004,11,1
81,81794,1,2009,9,1
81,81794,1,2010,7,1
19,1905,1,2010,4,1
19,19821,1,2009,8,1
5,5591,1,2010,2,1
23,2358,2,2010,8,2
23,2358,2,2010,8,2
23,2358,2,2010,8,2
52,52079,1,2010,8,2
50,5033,1,2010,8,2
50,5037,1,2010,8,2
18,18756,1,2010,8,2
50,5033,1,2010,8,2
50,5033,1,2010,8,2
